section,quantity,median,lower_95,upper_95
headline,Incubation mean (d),22.548344741326638,20.210458972134056,25.433237398390382
headline,Incubation 95th pct (d),36.09760215882011,31.285650635873573,44.06723060881684
headline,Incubation 99th pct (d),44.86931940620937,37.692713822876065,57.82322185049343
headline,μ_δ (d from source onset),0.17605586734480067,-0.17235841067349178,0.4817406485072222
headline,σ_δ (d),0.6086497510422721,0.45579801167771195,0.8293016885356458
headline,GI / SI mean (d),22.7108435342341,20.358601415427316,25.582023720331698
headline,GI / SI SD (d),7.3547331927991175,5.6609546042475705,10.27497846876387
headline,NB dispersion k,0.30773118452075987,0.13587494457983548,0.8883163015487818
diagnostics,rhat_max,1.0032755020006916,NaN,NaN
diagnostics,ess_min,1671.1365779363596,NaN,NaN
diagnostics,divergences,0.0,NaN,NaN
rt,R_knot_1,1.3410306762927915,0.5513528551780413,4.410196068779127
rt,R_knot_2,1.2998850020746207,0.5442924545002525,4.173152465849533
rt,R_knot_3,1.233771163040309,0.5542811828848351,3.436877694114306
rt,R_knot_4,1.1767307910547706,0.5231758284421102,3.214723143376175
rt,R_knot_5,1.1410481853199737,0.5311343051788694,3.0616200494013768
rt,R_knot_6,1.0046162768753628,0.4525966573814216,2.4882189773431516
rt,R_knot_7,0.8657696050814703,0.3483737941461037,2.1729267931154843
rt,R_knot_8,0.7528474636085262,0.2622992479256674,2.0143122652938756
rt,R_knot_9,0.6863672447940339,0.20235356768247786,1.9221910890032337
rt,R_knot_10,0.652017239615668,0.1414633176424645,2.000578254474894
rt,R_knot_11,0.6290648982846061,0.10900863883664218,1.98385843676665
rt,R_knot_12,0.611218881213851,0.08705835088449092,2.0263502039558303
rt,R_knot_13,0.6082127575645627,0.07420327771354884,2.066823430003602
